CvM,AD,PQ-PQ
0.058846247010076375,0.42215311180084336,0.315841216363451
0.05887214791861319,0.4240002268342822,0.3163049787886251
0.058932004467552875,0.42448054059984486,0.31651326713698497
0.05923418909722152,0.4245987588257962,0.31710254851324254
0.059247158660139264,0.4247342132437108,0.31865435504429374
0.05935436717085561,0.4249303344521416,0.31865816810526576
0.059439900407694805,0.42535196160310873,0.3194876309216949
0.059466919527417283,0.42796698276859363,0.3203240920138156
0.059537959056041444,0.4282219454591169,0.32068978145272103
0.05972537980179409,0.4282999238158548,0.32135302748206
0.059831706842219716,0.43112223265528077,0.32220355155003194
0.060203275495186545,0.43159969368826084,0.3249188701003578
0.06026840560684345,0.4320255309165794,0.32599623143924394
0.06033049306103738,0.43488220957910884,0.3261973813516173
0.0603322844854899,0.43536261635853546,0.32648891154689125
0.06036958405671387,0.43563566365664835,0.32652591081602256
0.06064333192962118,0.43768352478412414,0.327622938735112
0.06090029746308517,0.43880857912049526,0.3290100157376572
0.06098182594503899,0.43894714429537995,0.3291886751153983
0.0613679146003348,0.43911996809482584,0.3293811585173995
0.061728297926644186,0.43919302136990057,0.33007583332049883
0.061915337058024295,0.4393924216554141,0.3317671488315258
0.06192888333952854,0.43942371548136355,0.3326421918725884
0.062218039922584074,0.4419017051791842,0.33276977568652244
0.06223036626483429,0.44205394770161777,0.33348500151441834
0.06263814867902708,0.4421418295449518,0.33555980940982555
0.0626632373543767,0.4439811051365403,0.33742107905397833
0.06287433221409128,0.44424426868689054,0.33858701338203734
0.06287558359574841,0.4443985234527071,0.34014599943225066
0.06296919823490844,0.4449311932379764,0.34098795727433423
0.06302130292061492,0.4456697628249117,0.34432183468472705
0.06328215267166225,0.44645514996818153,0.34469531311557766
0.06341739425067244,0.4491801615029698,0.34522917913775486
0.06399631634804666,0.4549631725770396,0.34549611977454914
0.0642234912509874,0.4553095942144423,0.34632597909442314
0.06432032275955574,0.4554552916965539,0.3471108296458402
0.06452043326887055,0.45546837914193566,0.3479637204283848
0.0646544577493287,0.45675209331417116,0.34893136230770083
0.0647860095583446,0.4597958474327962,0.34897064219631985
0.06499633579528465,0.45984686041788214,0.34920588596370056
0.0650668626940107,0.46065292827704396,0.3495383732027876
0.06553404317217738,0.46093960567588665,0.35000471183749016
0.06565305713572857,0.46383864399452573,0.3500099182684569
0.06584208656526806,0.4651274787536817,0.35029362067473135
0.06586292986031135,0.4653172960030634,0.35188383456339317
0.06595903276055813,0.46783059754541834,0.3520574106843607
0.06599924335682839,0.46792884621596126,0.35456855511960494
0.06600022331065478,0.4690218680262577,0.35491365905943084
0.06641110311096905,0.4725074483086726,0.3566604055400948
0.06660633356985463,0.473412961335521,0.35940424006432925
0.06675144692205781,0.47370811543649616,0.36105670778924825
0.06732871490695304,0.4746271309209585,0.36113197236641836
0.06783348037260249,0.47484517084025546,0.36193156763115103
0.06807998133338217,0.4761427438776331,0.3622931711651164
0.06840746547666186,0.4775824805909285,0.3645866884883006
0.06869963991769634,0.4793177152906637,0.36536419491642796
0.06879155188130633,0.4807319985455277,0.3686489088696234
0.06880797911926266,0.4817751690177424,0.36878605294009276
0.06884044803384881,0.48179195283093423,0.37001119886204115
0.06891764562152021,0.48206027497102466,0.3704391085604209
0.06924366937325069,0.48223229617449015,0.3715956356291384
0.06924575759381035,0.4836308560321799,0.3720829871397711
0.06993560044114137,0.4839611761800171,0.37386125575051343
0.07013867652662753,0.49012096031599206,0.3744931450221729
0.07049607031383617,0.4906688358135988,0.3745407143397256
0.07052510520696699,0.49117828374826095,0.37605389711229553
0.07104118427325713,0.49165291117232773,0.37729160088172387
0.07158784233493204,0.4928626793168783,0.3787002904322791
0.07170149776522776,0.4929935742855209,0.37883607682879145
0.07175895584183377,0.4957667488609134,0.37921668349633186
0.07177213153009147,0.49627651179320387,0.3793361294723518
0.07189664318994807,0.4963917969721595,0.37956521054052444
0.07197928684652498,0.4970261318441921,0.3807642578646693
0.07211151881360603,0.49777620462325417,0.38121718961963863
0.07254570791854503,0.497906978154833,0.38145655490935393
0.07261765447117012,0.49807546837206956,0.38196510788964344
0.07300492139931761,0.49944782180999614,0.3830882706230922
0.07301321160969892,0.4995703396156804,0.38342990104493885
0.07312458858433178,0.499995110284446,0.38395403945267675
0.07319325164219824,0.5000408710312624,0.38427411900737346
0.07339671766052873,0.5000965089888444,0.3843845018695452
0.07369194415371835,0.5027898971453563,0.3845639084567763
0.07376781337522928,0.5041974263621237,0.38506501739726706
0.07380837526438543,0.5043041590972722,0.3861528736402619
0.07409971410387974,0.5045976800598994,0.3870527806176685
0.07411709836884031,0.5056444497324671,0.3886773180851865
0.07432506854627792,0.5057386134130963,0.38933015960333317
0.07440387356341066,0.5090578144330127,0.3911856105256566
0.0747526471892979,0.511890221253107,0.391837819781719
0.07480715906482104,0.5119485276392042,0.3921422493150752
0.0749664135829318,0.5121191243763015,0.3941317974811212
0.07540017190278385,0.5123517486168704,0.3971460414556271
0.07548841513935281,0.5143884584305103,0.39767945214467904
0.07568432838728792,0.5144725854198223,0.39841526851462855
0.0758220942408391,0.5147826649178244,0.39887973731284637
0.07603093633932174,0.5175620506468684,0.40146010004087684
0.07638123784732095,0.5198880540056063,0.4018373174245367
0.07647056619018254,0.5207372564879086,0.4024785526269228
0.07675491535024624,0.5209967424076731,0.40351593441441397
0.07689154890364625,0.5224075566457073,0.4038191419652559
0.07714489950735494,0.5225846499532966,0.40428754312933796
0.07721493962873933,0.5234683787404536,0.406050364707562
